id,pid,ms_zoning,lot_frontage,lot_area,lot_shape,lot_config,neighborhood,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,foundation,bsmt_qual,bsmtfin_type_1,bsmtfin_type_2,total_bsmt_sf,heating_qc,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_qual,totrms_abvgrd,fireplaces,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,fence,mo_sold,yr_sold,saleprice,house_age,remod_years,tot_bath,tot_outdoor_space,price_per_sqft,log_saleprice
109,533352170,RL,0.0,13517,IR1,CulDSac,Sawyer,1Fam,2Story,6,8,1976,2005,Gable,HdBoard,Plywood,BrkFace,289.0,Gd,CBlock,TA,GLQ,Unf,725.0,Ex,725,754,1479,0.0,0.0,2,1,3,Gd,6,0,Attchd,1976.0,RFn,2.0,475.0,Y,0,44,0,0,0,none,3,2010,130500,34,5,2.5,44,59.21052631578947,11.779128505744886
544,531379050,RL,43.0,11492,IR1,CulDSac,SawyerW,1Fam,2Story,7,5,1996,1997,Gable,VinylSd,VinylSd,BrkFace,132.0,Gd,PConc,Gd,GLQ,Unf,913.0,Ex,913,1209,2122,1.0,0.0,2,1,4,Gd,8,1,Attchd,1997.0,RFn,2.0,559.0,Y,0,74,0,0,0,none,4,2009,220000,13,12,3.5,74,72.48764415156508,12.301382825334498
153,535304180,RL,68.0,7922,Reg,Inside,NAmes,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,GLQ,Unf,1057.0,TA,1057,0,1057,1.0,0.0,1,0,3,Gd,5,0,Detchd,1953.0,Unf,1.0,246.0,Y,0,52,0,0,0,none,1,2010,109000,57,3,2.0,52,51.561021759697255,11.59910316121128
318,916386060,RL,73.0,9802,Reg,Inside,Timber,1Fam,2Story,5,5,2006,2007,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,Unf,Unf,384.0,Gd,744,700,1444,0.0,0.0,2,1,3,TA,7,0,BuiltIn,2007.0,Fin,2.0,400.0,Y,100,0,0,0,0,none,4,2010,174000,4,3,2.5,100,95.18599562363238,12.066810578196666
255,906425045,RL,82.0,14235,IR1,Inside,SawyerW,1Fam,1.5Fin,6,8,1900,1993,Gable,Wd Sdng,Plywood,None,0.0,TA,PConc,Fa,Unf,Unf,676.0,TA,831,614,1445,0.0,0.0,2,0,3,TA,6,0,Detchd,1957.0,Unf,2.0,484.0,N,0,59,0,0,0,none,3,2010,138500,110,17,2.0,59,65.2993870815653,11.83862560460953
138,535126040,RL,137.0,16492,IR1,Corner,NAmes,1Fam,1Story,6,6,1966,2002,Gable,BrkFace,Plywood,None,0.0,Gd,CBlock,TA,ALQ,Rec,1517.0,Ex,1888,0,1888,0.0,0.0,2,1,2,Gd,6,1,Attchd,1966.0,Fin,2.0,578.0,Y,0,0,0,0,0,none,6,2010,190000,44,8,2.5,0,55.80029368575624,12.154779351142624
2827,908186070,RM,35.0,3675,Reg,Inside,Edwards,TwnhsE,SFoyer,6,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,82.0,TA,PConc,Gd,GLQ,Unf,547.0,Gd,1072,0,1072,1.0,0.0,2,0,2,TA,5,0,Basment,2005.0,Fin,2.0,525.0,Y,0,44,0,0,0,none,6,2006,140000,1,0,3.0,44,86.47313156269303,11.84939770159144
145,535154050,RL,0.0,12160,IR1,Inside,NAmes,1Fam,1Story,5,5,1959,1959,Hip,Plywood,Plywood,BrkFace,180.0,TA,CBlock,TA,Rec,Unf,1188.0,Fa,1188,0,1188,1.0,0.0,1,0,3,TA,6,0,Attchd,1959.0,RFn,2.0,531.0,Y,0,0,0,0,0,MnPrv,5,2010,142000,51,51,2.0,0,59.764309764309765,11.863582336583399
1942,535353130,RL,0.0,15783,Reg,Inside,OldTown,1Fam,1Story,5,5,1952,1952,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,Rec,Unf,924.0,TA,924,0,924,0.0,0.0,1,0,2,TA,6,0,Detchd,1952.0,Unf,1.0,420.0,Y,0,324,0,0,0,MnPrv,6,2007,112500,55,55,1.0,324,60.87662337662338,11.630708500626612
1956,535426130,RL,70.0,11606,IR1,Inside,NAmes,1Fam,2Story,5,5,1969,1969,Gable,Plywood,Plywood,BrkFace,192.0,TA,PConc,Gd,Rec,Unf,1040.0,TA,1040,1040,2080,0.0,1.0,1,2,5,Fa,9,2,Attchd,1969.0,Unf,2.0,504.0,Y,335,0,0,0,0,none,9,2007,135000,38,38,2.5,335,43.26923076923077,11.813030057420567
