gmDate,seasonYR,teamAbbr,teamLoc,teamRslt,teamDayOff,teamTO,teamPF,teamFGA,teamFGM,teamFTA,teamFTM,teamORB,teamDRB,teamEFG%,teamTREB%,teamTO%,teamFT%
2012-10-30,2012,WAS,0,0,0,13,19,90,32,20,12,18,21,40.0,41.9355,11.6279,60.0
2012-10-30,2012,CLE,1,1,0,21,21,79,36,22,15,18,36,50.0,58.0645,19.1466,68.18
2012-10-30,2012,BOS,0,0,0,16,23,75,39,28,23,7,34,56.0,53.2468,15.4859,82.14
2012-10-30,2012,MIA,1,1,0,8,20,79,43,32,26,5,31,59.49,46.7532,7.9145,81.25
2012-10-30,2012,DAL,0,1,0,12,25,85,40,18,14,9,31,50.0,46.5116,11.4373,77.78
2012-10-30,2012,LAL,1,0,0,14,21,77,38,31,12,15,31,51.3,53.4884,13.3792,38.71
2012-10-31,2012,DEN,0,0,0,22,22,88,33,11,5,16,38,39.77,53.4653,19.1571,45.45
2012-10-31,2012,PHI,1,1,0,16,14,85,30,21,17,14,33,39.41,46.5347,14.5138,80.95
2012-10-31,2012,IND,0,1,0,19,16,78,37,16,11,9,37,50.64,52.2727,18.2622,68.75
2012-10-31,2012,TOR,1,0,0,10,18,91,33,19,16,15,27,39.56,47.7273,9.1441,84.21
2012-10-31,2012,HOU,0,1,0,20,24,79,39,23,17,12,33,55.7,55.5556,18.3284,73.91
2012-10-31,2012,DET,1,0,0,16,15,79,35,26,20,10,26,48.1,44.4444,15.0319,76.92
2012-10-31,2012,SAC,0,0,0,21,29,84,34,16,13,11,29,44.05,46.5116,18.7433,81.25
2012-10-31,2012,CHI,1,1,0,18,19,79,33,33,25,14,32,43.04,53.4884,16.1406,75.76
2012-10-31,2012,SA,0,1,0,16,21,80,38,26,17,10,33,51.25,50.0,14.892000000000001,65.38
2012-10-31,2012,NO,1,0,0,15,20,80,35,23,21,9,34,46.25,50.0,14.2694,91.3
2012-10-31,2012,DAL,0,0,1,16,32,85,32,26,19,8,32,44.12,39.604,14.2298,73.08
2012-10-31,2012,UTA,1,1,0,14,25,89,38,42,31,20,41,46.07,60.396,11.5245,73.81
2012-10-31,2012,GS,0,1,0,18,20,86,33,23,16,17,32,41.28,52.6882,15.7729,69.57
2012-10-31,2012,PHO,1,0,0,18,23,80,32,22,17,11,33,42.5,47.3118,16.7162,77.27
2012-10-31,2012,MEM,0,0,0,21,25,86,33,30,24,17,27,39.53,53.012,17.4709,80.0
2012-10-31,2012,LAC,1,1,0,22,27,74,38,29,20,8,31,54.73,46.988,20.227999999999998,68.97
2012-10-31,2012,LAL,0,0,1,25,29,72,36,32,26,15,30,55.56,60.0,22.5063,81.25
2012-10-31,2012,POR,1,1,0,12,20,83,42,28,23,10,20,56.02,40.0,11.1815,82.14
2012-11-01,2012,OKC,0,0,0,18,20,77,29,23,19,12,36,42.21,55.1724,17.1233,82.61
2012-11-01,2012,SA,1,1,1,13,21,79,35,16,11,6,33,47.47,44.8276,13.126,68.75
2012-11-02,2012,DEN,0,0,2,14,17,84,32,27,18,15,30,42.26,49.4505,12.7412,66.67
2012-11-02,2012,ORL,1,1,0,13,24,86,42,18,13,11,35,51.74,50.5495,12.1586,72.22
2012-11-02,2012,IND,0,0,2,19,16,83,33,27,16,14,38,43.98,55.913999999999994,16.6842,59.26
2012-11-02,2012,CHA,1,1,0,11,23,85,31,24,21,10,31,40.59,44.086000000000006,10.3228,87.5
2012-11-02,2012,MIL,0,1,0,19,17,86,40,12,11,11,35,51.16,56.0976,17.2289,91.67
2012-11-02,2012,BOS,1,0,3,18,18,74,33,21,17,6,30,47.97,43.9024,17.7795,80.95
2012-11-02,2012,CHI,0,1,2,17,21,69,44,30,23,5,36,66.67,55.4054,17.1371,76.67
2012-11-02,2012,CLE,1,0,3,17,25,79,32,27,14,11,22,45.57,44.5946,15.7582,51.85
2012-11-02,2012,HOU,0,1,2,21,18,90,38,29,25,23,35,46.67,61.7021,16.9683,86.21
2012-11-02,2012,ATL,1,0,0,13,26,85,40,17,15,7,29,51.18,38.2979,12.3246,88.24
2012-11-02,2012,MIA,0,0,3,21,18,71,33,13,11,7,34,51.41,50.0,21.49,84.62
2012-11-02,2012,NY,1,1,0,14,22,84,36,15,13,13,28,54.17,50.0,13.3843,86.67
2012-11-02,2012,UTA,0,0,2,15,21,85,35,12,6,16,28,47.06,51.1628,14.2477,50.0
2012-11-02,2012,NO,1,1,2,12,16,81,37,14,9,12,30,48.77,48.8372,12.1017,64.29
