gmDate,teamAbbr,teamRslt,teamPtsFor,teamPtsAgnst,opptAbbr,opptRslt,opptPtsFor,opptPtsAgnst
2012-10-30,WAS,0,0,0,CLE,1,0,0
2012-10-30,BOS,0,0,0,MIA,1,0,0
2012-10-30,DAL,1,0,0,LAL,0,0,0
2012-10-31,DEN,0,0,0,PHI,1,0,0
2012-10-31,IND,1,0,0,TOR,0,0,0
2012-10-31,HOU,1,0,0,DET,0,0,0
2012-10-31,SAC,0,0,0,CHI,1,0,0
2012-10-31,SA,1,0,0,NO,0,0,0
2012-10-31,DAL,0,0,0,UTA,1,0,0
2012-10-31,GS,1,0,0,PHO,0,0,0
2012-10-31,MEM,0,0,0,LAC,1,0,0
2012-10-31,LAL,0,0,0,POR,1,0,0
2012-11-01,OKC,0,0,0,SA,1,0,0
2012-11-02,DEN,0,0,0,ORL,1,0,0
2012-11-02,IND,0,0,0,CHA,1,0,0
2012-11-02,MIL,1,0,0,BOS,0,0,0
2012-11-02,CHI,1,0,0,CLE,0,0,0
2012-11-02,HOU,1,0,0,ATL,0,0,0
2012-11-02,MIA,0,0,0,NY,1,0,0
2012-11-02,UTA,0,0,0,NO,1,0,0
2012-11-02,SAC,0,0,0,MIN,1,0,0
2012-11-02,POR,0,0,0,OKC,1,0,0
2012-11-02,DET,0,0,0,PHO,1,0,0
2012-11-02,LAC,1,0,0,LAL,0,0,0
2012-11-02,MEM,1,0,0,GS,0,0,0
2012-11-03,BOS,1,0,0,WAS,0,0,0
2012-11-03,SAC,0,0,0,IND,1,0,0
2012-11-03,DEN,0,0,0,MIA,1,0,0
2012-11-03,TOR,0,0,0,BKN,1,0,0
2012-11-03,NO,1,0,0,CHI,0,0,0
2012-11-03,POR,1,0,0,HOU,0,0,0
2012-11-03,CHA,0,0,0,DAL,1,0,0
2012-11-03,CLE,0,0,0,MIL,1,0,0
2012-11-03,UTA,0,0,0,SA,1,0,0
2012-11-03,GS,1,0,0,LAC,0,0,0
2012-11-04,PHI,0,0,0,NY,1,0,0
2012-11-04,PHO,0,0,0,ORL,1,0,0
2012-11-04,MIN,0,0,0,TOR,1,0,0
2012-11-04,ATL,1,0,0,OKC,0,0,0
2012-11-04,DET,0,0,0,LAL,1,0,0
2012-11-05,NY,1,0,0,PHI,0,0,0
2012-11-05,PHO,0,0,0,MIA,1,0,0
2012-11-05,MIN,1,0,0,BKN,0,0,0
2012-11-05,UTA,0,0,0,MEM,1,0,0
2012-11-05,IND,0,0,0,SA,1,0,0
2012-11-05,POR,0,0,0,DAL,1,0,0
2012-11-05,GS,0,0,0,SAC,1,0,0
2012-11-05,CLE,1,0,0,LAC,0,0,0
2012-11-06,ORL,0,0,0,CHI,1,0,0
2012-11-06,TOR,0,0,0,OKC,1,0,0
2012-11-06,DET,0,0,0,DEN,1,0,0
2012-11-07,PHO,1,0,0,CHA,0,0,0
2012-11-07,BKN,0,0,0,MIA,1,0,0
2012-11-07,IND,0,0,0,ATL,1,0,0
2012-11-07,WAS,0,0,0,BOS,1,0,0
2012-11-07,PHI,1,0,0,NO,0,0,0
2012-11-07,MEM,1,0,0,MIL,0,0,0
2012-11-07,ORL,0,0,0,MIN,1,0,0
2012-11-07,DEN,1,0,0,HOU,0,0,0
2012-11-07,TOR,0,0,0,DAL,1,0,0
2012-11-07,LAL,0,0,0,UTA,1,0,0
2012-11-07,DET,0,0,0,SAC,1,0,0
2012-11-07,CLE,0,0,0,GS,1,0,0
2012-11-07,SA,0,0,0,LAC,1,0,0
2012-11-08,OKC,1,0,0,CHI,0,0,0
2012-11-08,LAC,1,0,0,POR,0,0,0
2012-11-09,MIL,1,0,0,WAS,0,0,0
2012-11-09,BKN,1,0,0,ORL,0,0,0
2012-11-09,PHI,1,0,0,BOS,0,0,0
2012-11-09,MIA,1,0,0,ATL,0,0,0
2012-11-09,DAL,0,0,0,NY,1,0,0
2012-11-09,CHA,0,0,0,NO,1,0,0
2012-11-09,IND,0,0,0,MIN,1,0,0
2012-11-09,DET,0,0,0,OKC,1,0,0
2012-11-09,HOU,0,0,0,MEM,1,0,0
2012-11-09,CLE,0,0,0,PHO,1,0,0
2012-11-09,SA,1,0,0,SAC,0,0,0
2012-11-09,UTA,0,0,0,DEN,1,0,0
2012-11-09,GS,0,0,0,LAL,1,0,0
2012-11-10,PHI,1,0,0,TOR,0,0,0
2012-11-10,WAS,0,0,0,IND,1,0,0
2012-11-10,DAL,0,0,0,CHA,1,0,0
2012-11-10,DET,0,0,0,HOU,1,0,0
2012-11-10,MIN,0,0,0,CHI,1,0,0
