gmDate,teamAbbr,ptsFor,ptsAgnst
2012-10-31,ATL,0,0
2012-10-31,BKN,0,0
2012-10-31,BOS,107,120
2012-10-31,CHA,0,0
2012-10-31,CHI,0,0
2012-10-31,CLE,94,84
2012-10-31,DAL,99,91
2012-10-31,DEN,0,0
2012-10-31,DET,0,0
2012-10-31,GS,0,0
2012-10-31,HOU,0,0
2012-10-31,IND,0,0
2012-10-31,LAC,0,0
2012-10-31,LAL,91,99
2012-10-31,MEM,0,0
2012-10-31,MIA,120,107
2012-10-31,MIL,0,0
2012-10-31,MIN,0,0
2012-10-31,NO,0,0
2012-10-31,NY,0,0
2012-10-31,OKC,0,0
2012-10-31,ORL,0,0
2012-10-31,PHI,0,0
2012-10-31,PHO,0,0
2012-10-31,POR,0,0
2012-10-31,SA,0,0
2012-10-31,SAC,0,0
2012-10-31,TOR,0,0
2012-10-31,UTA,0,0
2012-10-31,WAS,84,94
2012-11-01,ATL,0,0
2012-11-01,BKN,0,0
2012-11-01,BOS,107,120
2012-11-01,CHA,0,0
2012-11-01,CHI,93,87
2012-11-01,CLE,94,84
2012-11-01,DAL,193,204
2012-11-01,DEN,75,84
2012-11-01,DET,96,105
2012-11-01,GS,87,85
2012-11-01,HOU,105,96
2012-11-01,IND,90,88
2012-11-01,LAC,101,92
2012-11-01,LAL,197,215
2012-11-01,MEM,92,101
2012-11-01,MIA,120,107
2012-11-01,MIL,0,0
2012-11-01,MIN,0,0
2012-11-01,NO,95,99
2012-11-01,NY,0,0
2012-11-01,OKC,0,0
2012-11-01,ORL,0,0
2012-11-01,PHI,84,75
2012-11-01,PHO,85,87
2012-11-01,POR,116,106
2012-11-01,SA,99,95
2012-11-01,SAC,87,93
2012-11-01,TOR,88,90
2012-11-01,UTA,113,94
2012-11-01,WAS,84,94
2012-11-02,ATL,0,0
2012-11-02,BKN,0,0
2012-11-02,BOS,107,120
2012-11-02,CHA,0,0
2012-11-02,CHI,93,87
2012-11-02,CLE,94,84
2012-11-02,DAL,193,204
2012-11-02,DEN,75,84
2012-11-02,DET,96,105
2012-11-02,GS,87,85
2012-11-02,HOU,105,96
2012-11-02,IND,90,88
2012-11-02,LAC,101,92
2012-11-02,LAL,197,215
2012-11-02,MEM,92,101
2012-11-02,MIA,120,107
2012-11-02,MIL,0,0
2012-11-02,MIN,0,0
2012-11-02,NO,95,99
2012-11-02,NY,0,0
2012-11-02,OKC,84,86
2012-11-02,ORL,0,0
2012-11-02,PHI,84,75
2012-11-02,PHO,85,87
2012-11-02,POR,116,106
2012-11-02,SA,185,179
2012-11-02,SAC,87,93
2012-11-02,TOR,88,90
2012-11-02,UTA,113,94
2012-11-02,WAS,84,94
2012-11-03,ATL,102,109
2012-11-03,BKN,0,0
2012-11-03,BOS,195,219
2012-11-03,CHA,90,89
2012-11-03,CHI,208,173
2012-11-03,CLE,180,199
2012-11-03,DAL,193,204
2012-11-03,DEN,164,186
2012-11-03,DET,185,197
2012-11-03,GS,181,189
2012-11-03,HOU,214,198
2012-11-03,IND,179,178
2012-11-03,LAC,206,187
2012-11-03,LAL,292,320
2012-11-03,MEM,196,195
2012-11-03,MIA,204,211
2012-11-03,MIL,99,88
2012-11-03,MIN,92,80
2012-11-03,NO,183,185
2012-11-03,NY,104,84
2012-11-03,OKC,190,178
2012-11-03,ORL,102,89
2012-11-03,PHI,84,75
2012-11-03,PHO,177,176
2012-11-03,POR,208,212
2012-11-03,SA,185,179
2012-11-03,SAC,167,185
2012-11-03,TOR,88,90
2012-11-03,UTA,199,182
2012-11-03,WAS,84,94
2012-11-04,ATL,102,109
2012-11-04,BKN,107,100
2012-11-04,BOS,284,305
2012-11-04,CHA,189,215
